"FAC_CODE","FAC_NAME","FAC_DESCRIPTION","US","CA","UK","FR","BE","NL","GE","SE","CZ","IT","Cat_Ix","SCat_Ix","Date of last change","DIGEST Status","Source of Proposed Change","Approval Notes","Report Number","Change History","Justification","Comments","Equivalence_FC","Equivalence_AC","Equivalence_AV","US Comments","CA Comments","UK Comments","FR Comments","BE Comments","NL Comments","GE Comments","SE Comments","CZ Comments","IT Comments"
"BH060","Flume","An open, inclined channel which carries water for use in such operations as mining or logging.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH070","Ford  ","A shallow place in a body of water used as a crossing.  (See also AQ062)",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH075","Fountain  ","An artificial spring with water.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH077","Hummock","An area of higher elevation within a swamp, bog, or marsh.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH080","Lake/Pond","A body of water surrounded by land.  (See also BH130)",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH090","Land Subject to Inundation ","An area periodically covered by flood water, excluding tidal waters.  (See also BH095, ED010, and ED020)",,,,,,,,,,,"B","BH",2000/08/07 0:00:00,0,"US",,"2.1","Version 2.1: Added reference to ED010 and ED020.",,,,,,,,,,,,,,,
"BH091","Flooded Area","Land subject to controlled inundation (i.e. flooded by the regulation of the level of water impounded by a dam or beaver dam), and is normally associated with permanently flooded areas in which trees are still standing.  Also known as inundated land.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH095","Marsh/Swamp","A saturated area, at times covered with water, supporting vegetation which may include trees.  (See also BH090, ED010, and ED020)",,,,,,,,,,,"B","BH",2000/08/07 0:00:00,0,"US",,"2.1","Version 2.1: Added reference to ED010 and ED020.",,,,,,,,,,,,,,,
"BH100","Moat","A trench usually filled with water, that surrounds a body of land.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH110","Penstock","A pipeline or channel generally used by hydroelectric plants or water mills to transport water by gravity and under pressure.  (See also BH010)",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH115","Underground Water/Phreatic Water","Water situated underground but reachable by wells.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH116","Ground Water (Isohypse)","The (subsoil) ground-water  contours. In the case of several ground-water levels lying above each other, the top level is taken.",,,,,,,,,,,"B","BH",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"BH120","Rapids ","A place in a stream or river where the current is swift and the surface is usually broken by boulders and rocks.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH130","Reservoir ","A man-made enclosure or area formed for the storage of water.  (See also BH080)",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH135","Rice Field","An area periodically covered with water used for growing rice.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH140","River/Stream ","A natural flowing watercourse.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH141","River Bank","The limit line between the water area of a river and the area of land.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH144","Stred Toku","N/A",,,,,,,,,,,"B","BH",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"BH145","River/Stream Vanishing Point","Point at which a river or stream passes into the ground.",,,,,,,,,,,"B","BH",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove space after 'd''.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"BH150","Salt Pan  ","A flat area of natural surface salt deposits.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH155","Salt Evaporator ","Shallow pools, normally man-made, used for the natural evaporation of water for the collection of salt.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH160","Sebkha","A natural depression in arid or semi-arid regions whose bed is covered with salt encrusted clayey soil.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH165","Spillway","A passage for surplus water to run over or around a dam.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH170","Spring/Water Hole","A natural outflow of water from below the ground surface.  (See also AA050 and BH075)",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH175","Trough","A man-made open water container for animal drinking.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH180","Waterfall  ","A vertical or nearly vertical descent of water.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH190","Lagoon/Reef Pool","Open body of water separated from the sea by a sand bank or coral reef.",,,,,,,,,,,"B","BH",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Add 'a' before 'sand'.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"BH191","Channel","That part of a body of water, sometimes dredged,  deep enough for navigation through an area otherwise not navigable.  It is usually marked by a single or double line of navigational aids.",,,,,,,,,,,"B","BH",1999/07/09 0:00:00,0,"IT",,"2.1","Version 2.1: New Feature","To permit mapping the Italian DB25 (scale 25.000 - Italian database) to FACC.","UK:  YES
GE:  YES  But basically that new feature is superfluous. It could also be described by BH190 Lagoon/Reef Pool  or  BA040 Water (Except Inland) + SEA 053 Canal.
CZ:  Why is it necessary to indicate where the canal is? We will have features Canal in Forest, Canal in Desert, ...? If at all, the position might be an attribute.
US:  YES …BUT… Can this be captured by using the existing channel within the lagoon, or is there a topologic reason for this precise definition?   Has this been an item of discussion before?
IT:   ---   Further clarification will be provided at FWP7",,,,,,,,,,,,,
"BH200","Miscellaneous Surface Drainage Feature  ","Surface drainage feature which is of a minor nature and which is not included in other feature codings in this specification.",,,,,,,,,,,"B","BH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BH210","Inland Shoreline","The land-water boundary for all inland hydrographic features having shorelines, Lake/Pond (BH080), or Island (BA030).",,,,,,,,,,,"B","BH",1998/04/02 0:00:00,0,"US",,"2.0A",,"Remove phrase "",except for left and right banks of River/Stream (BH140) and Canal(BH020)""","Approved by FACC WP Dec 1997.",,,,,,,,,,,,,
"BH501","River Navigation Route","The route in a river suitable for the largest allowed vessels.  (See also FC168)",,,,,,,,,,,"B","BH",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Capitalize Navigation and Route",,,,,,,,,,,,,,
"BI005","Boat Lift","A mechanical device for lifting vessels between two levels other than a lock.  (See also BI030)",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI010","Cistern","A man-made container used for collection or storage of rain water.",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI020","Dam/Weir","A permanent barrier across a watercourse used to impound water or to control its flow.  (See also BI040)",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI030","Lock ","An enclosure with a pair or series of gates used for raising or lowering vessels as they pass from one water level to another.  (See also BI005)",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI031","Lock Basin","A wet dock in a waterway permitting a ship to pass from one level to another (IHO S-32)  (See also BI030)",,,,,,,,,,,"B","BI",2000/01/21 0:00:00,0,"GE",,"2.1","Version 2.1: New Feature.","Needed to capture the interior water containing area of a lock.  BI030 Lock includes not only the lock basin, but also the mechanicals of the lock (walls, gates, etc.).",,,,,,,,,,,,,,
"BI039","Sluice","An open, inclined conduit fitted with a gate for regulating water flow and may be employed in mine ore washing operations.  (See also BI020 and BI040)",,,,,,,,,,,"B","BI",2000/08/07 0:00:00,0,"WP",,"2.1","Version 2.1: Modified reference statement","Editorial Change",,,,,,,,,,,,,,
"BI040","Sluice Gate ","A gate used to regulate the flow of water.  (See also BI020 and BI039)",,,,,,,,,,,"B","BI",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove (see also BI040), that's this feature.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"BI041","Gate (Nautical) ","A structure that may be swung, drawn, or lowered to block an entrance or passageway.",,,,,,,,,,,"B","BI",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Formatting
",,,,,,,,,,,,,,
"BI042","US-Caisson   UK-Dry Dock Gate","The gate at the end of a drydock which excludes the water after pumping out the dock. The pumping engines are often located in the caisson.",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI043","Flood Barrage","An artificial obstruction placed in a water course to increase the depth or to divert it.",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI050","Water Intake Tower","A tower-like structure associated with a dam or water source and used for the intake of water.",,,,,,,,,,,"B","BI",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove space after d'.  Ruffhead Mil Survey.
",,,,,,,,,,,,,,
"BI060","Fish Ladder","A series of ascending pools constructed to enable fish to swim upstream around or over a dam.",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI070","Gauging Station","A device which monitors stream flow.",,,,,,,,,,,"B","BI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BI080","Boat Turning Basin","A section of canal or navigable waterway in which a barge or other vessel can be turned.",,,,,,,,,,,"B","BI",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Add Italian to list of languages.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"BI540","Stavidlo","N/A",,,,,,,,,,,"B","BI",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"BI570","Rícní Signalizace","N/A",,,,,,,,,,,"B","BI",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"BJ020","Moraine  ","An accumulation of soil and stone debris deposited by a glacier.",,,,,,,,,,,"B","BJ",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Change ';' to ':' in names section.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"BJ030","Glacier","A large mass of snow and ice moving slowly down a slope or valley from above the snowline.",,,,,,,,,,,"B","BJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BJ040","Ice Cliff ","The vertical face of a glacier or ice shelf.",,,,,,,,,,,"B","BJ",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Capitalize Sbarriere under Danish translation.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"BJ060","Ice Peak/Nunatak","A rocky peak projecting above a surrounding ice field that may be perpetually covered with ice.",,,,,,,,,,,"B","BJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BJ065","Ice Shelf ","A sheet of thick ice, with level or undulating surface, attached to the land but mostly afloat which is bounded on the seaward side by an Ice Cliff (BJ040).",,,,,,,,,,,"B","BJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BJ070","Pack Ice","An area of ice formed by the drifting and crushing together of floating pieces of ice.",,,,,,,,,,,"B","BJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BJ080","Polar Ice","The heaviest, thickest form of ice over land or water.  (See also BJ100)",,,,,,,,,,,"B","BJ",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Eliminate double space.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"BJ090","Iceberg","A massive floating body of ice broken away from a glacier.",,,,,,,,,,,"B","BJ",2002/09/09 0:00:00,2,"UH",,"AML","New Feature","Requested by UK to support their development of the Additional Military Layers (AML) Products.",,,,,,,,,,,,,,
"BJ095","Iceberg Area","An area where seasonal and non-seasonal icebergs are found which could pose a hazard to navigation.",,,,,,,,,,,"B","BJ",2002/09/09 0:00:00,2,"UH",,"AML","New Feature","Requested by UK to support their development of the Additional Military Layers (AML) Products.",,,,,,,,,,,,,,
"BJ100","Snow Field/Ice Field","A large area permanently covered by snow or ice over land or water.  (See also BJ080)",,,,,,,,,,,"B","BJ",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"BJ110","Tundra ","A prairie-like region in the Arctic and Subarctic zones which sustains a growth of low vegetation.",,,,,,,,,,,"B","BJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"BJ120","Polynya","An area of open water enclosed by sea ice.  It is generally non-linear and larger than an Ice Lead or Ice Fracture.  May contain brash ice and be covered with new ice, nilas, or young ice.",,,,,,,,,,,"B","BJ",2002/09/09 0:00:00,2,"UH",,"AML","New Feature","Requested by UK to support their development of the Additional Military Layers (AML) Products.",,,,,,,,,,,,,,
"BK010","Acoustic Station","A device equipped for the collection of acoustic data.",,,,,,,,,,,"B","BK",1998/04/02 0:00:00,0,"WP",,"2.0A",,,"Massage Definition BE  
Agree Buckley US",,,,,,,,,,,,,
"BK020","Magnetic Station","A device equipped for the collection of magnetic data.",,,,,,,,,,,"B","BK",1998/04/02 0:00:00,0,"WP",,"2.0A",,,"Massage Definition BE  
Agree Buckley US",,,,,,,,,,,,,
"BK030","Oceanographic Collection Device","A device used for the collection of unspecified hydrographic and oceanographic data.",,,,,,,,,,,"B","BK",1998/09/17 0:00:00,0,"US",,"2.0A",,"Feature required to capture undifferentiated oceanographic sensing devices for inclusion on several of our hydrographic products.
",,,,,,,,,,,,,,
"CA010","Contour Line (Land) ","A line connecting points having the same vertical datum value.",,,,,,,,,,,"C","CA",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Change ';' to ':' in names section.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"CA020","Ridge Line","A line representation of a ridge top.",,,,,,,,,,,"C","CA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"CA025","Valley Bottom Line","A line representation of the lowest part of a valley.",,,,,,,,,,,"C","CA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"CA026","Breakline","Line representing the demarcation of a sudden and significant change in the gradient of the terrain relief.",,,,,,,,,,,"C","CA",1998/04/02 0:00:00,0,"IT",,"2.0A",,,,,,,,,,,,,,,,
"CA030","Spot Elevation ","A designated location with an elevation value relative to a vertical datum.",,,,,,,,,,,"C","CA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"CA035","Inland Water Elevation","A location with a generalized elevation value relative to a vertical datum associated with an inland, usually confined, water body.",,,,,,,,,,,"C","CA",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"CA040","Contour Polygon (Land)","An arbitrary area outline created to establish elevation as polygons.",,,,,,,,,,,"C","CA",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"CA050","Surface Triangle","An area outline consisting of three spot elevations (CA030).  The set of nonoverlapping surface triangles represents the terrain surface.",,,,,,,,,,,"C","CA",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Needed to capture a Triangulated Irregular Network",,,,,,,,,,,,,,
"CA506","DEM-Grid","Regularly distributed spot elevations of the Digital Terrain Elevation Model (DEM).",,,,,,,,,,,"C","CA",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"CA507","Terrain Line","Line used for the representation and characterization of the surface of the terrain.",,,,,,,,,,,"C","CA",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"DA005","Asphalt Lake","A natural pool of liquid asphalt.",,,,,,,,,,,"D","DA",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove space after d'.  Ruffhead Mil Survey.
",,,,,,,,,,,,,,
"DA006","Alkali Flats","A sterile plain containing an excess of alkali usually occurring in the bottom of an under drained basin in an arid or semi-arid region.  The ground may be soft and have low shearing and bearing strength, and a high organic content.",,,,,,,,,,,"D","DA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DA010","Ground Surface Element","The surface soil characteristics of the earth.",,,,,,,,,,,"D","DA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DA011","Soil","The top layer (100 cm) of  the ground and/or the rock/the sediments of the terrain.",,,,,,,,,,,"D","DA",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"DA020","Barren Ground","Ground so disturbed as to have no identifiable coverage.",,,,,,,,,,,"D","DA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DA030","Land Area","An area not permanently or temporarily covered by water.",,,,,,,,,,,"D","DA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DA031","Land Region","An area of natural scenery on land.  It is defined by its geographical characteristics and known by its proper name.",,,,,,,,,,,"D","DA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DA501","Puda","N/A",,,,,,,,,,,"D","DA",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"DB010","Bluff/Cliff/Escarpment","A steep, vertical, or overhanging face of rock or earth.  (See also DB110)",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB030","Cave","A natural subterranean chamber or series of chambers open to the Earth's surface.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB031","Hill","A small, isolated elevation, smaller than a mountain.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB060","Crevice/Crevasse","A narrow fissure, crack, or rift in the Earth's surface, snow or ice.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB070","Cut","An excavation of the Earth's surface to provide passage for a road, railroad, canal, etc.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB080","Depression","A low area surrounded by higher ground.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB090","Embankment/Fill","A raised long mound of earth or other material.  (See also BA051)",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB100","Esker","A long, narrow ridge of sand and gravel deposited by a glacial stream.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB110","Fault","A fracture in the Earth's crust with displacement on one side of the fracture relative to the other.  (See also DB010)",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB115","Geothermal Feature","A terrain surface feature controlled by or derived from the heat of the Earth's interior.",,,,,,,,,,,"D","DB",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"DB145","Miscellaneous Obstacle","Obstacle feature which is of a minor nature and which is not covered by another feature coding in this specification.",,,,,,,,,,,"D","DB",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Replace 'other' with 'another'.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"DB150","Mountain Pass","A natural route through a low place in a mountain range.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB160","Rock Strata/Rock Formation","A visual topographic outcrop, layers or beds of rock.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB161","Large Isolated Rock, Boulder, or Rocky Formation","A conspicuous  isolated rocky formation or single large stone existing in its entirety above the high water mark.  From offshore it would appear to a mariner as a single point on land and would be appropriate for use in navigation.",,,,,,,,,,,"D","DB",1999/06/30 0:00:00,0,"US",,"2.1","Version 2.1: New Feature to permit mapping of S-57","To permit mapping S-57 attribute CATLMK.","GE:  NO  1) Has concerns about the use of scale or product dependent words such as 'isolated'.
         2) Depends on the scale as well. And : Conflict with DB160 Rock Strata /Rock Formation.
BE:  An isolated rock and an isolated rocky formation are not necessarily the same thing.
UK:  This conflict will be common when we are mapping to a catalog having a 'higher authority' such as IHO.
ALL: Keep as generic as possible to allow maximum scope for use.
US:  In using the IHO definition, we are being less restrictive however I have changed the feature name to reflect the full scope of the attribute.
UK:  Still thinking!!  FWP6 had a problem with this. Concerned about mixed concepts, confusion with DB160, and meaning of “isolated”   ??????????
CZ:  ""Isolated"" seems to be clear, I understand it as an opposite to connected here. I don't see any scale dependency in it.  FACC deals with real world features, not with maps.
US:  YES
The fundamental purpose of this new feature is to support a mariner looking for conspicuous landmarks to use in fixing his position.  A rock or boulder in a talus slope amongst many others is not conspicuous, one standing alone on a hillside is.  The same goes for a rock outcrop.  In many parts of the world, especially with a paucity of conspicuous landmarks, rocks and outcrops are frequently charted to be used by the mariner as landmarks.  The scale of reference is the mariner's view.  If it can be portrayed as a single object and if the mariner can quickly recognize it with no doubt of it being confused with others, then it belongs here.
IT:  NO  Seems to be in conflict with DB160.  However, needs further discussion!",,,,,,,,,,,,,
"DB170","Sand Dune/Sand Hills","Ridges or hills of sand.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB176","Slope Category","An area enclosing a group of slope values falling within a set range.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB180","Volcano","A mountain or hill, often conical, formed around a vent in the earth's crust through which molten rock, ash, or gases are or have been expelled.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB185","Crater","A depression on the Earth’s surface, usually more or less circular. Craters commonly are created by the removal of material by explosions, either natural or artificial, originating at or below the Earth's surface, or by the impact of an object with the Earth.",2,,2,,,,2,1,1,,"D","DB",2003/04/24 7:36:38,0,"US","2003-10-21","2.2","New Feature","Needed in order to capture craters for TLMs used by the Iceland Defense Forces.",,,,,"Agree with UK and GE: Suggest first line of description is redrafted to “A depression on the Earth’s surface, usually more or less circular or semi-circular.”  We consider that craters come in a wide variety of shapes, not just circles and semi-circles.""",,"Suggest first line of description is redrafted to “A depression on the Earth’s surface, usually circular or semi-circular.”  We consider that craters come in a wide variety of shapes, not just circles and semi-circles.",,,,"Proposal : „A more or less circular depression on the Earth´s surface“. – etc.",,,
"DB190","Volcanic Dike","A steep ridge of igneous rock.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB200","US-Gully/Gorge  UK-Gullies","A long, narrow, deep erosion with steep banks.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB210","US-Potential Landslide Area   UK-Landslide/Scree","A mass of land, with a high potential of slipping down from a mountain, hill, etc.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB211","Landslide","The mass of earth or rock which has slipped down from a mountain or cliff.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB220","Undermined Land","Area undermined through mining activities that has already partly subsided or that is in the process of subsiding.",,,,,,,,,,,"D","DB",1998/06/24 0:00:00,0,"GE",,"2.0A",,"Required by topographic products.  Also used to drive symbolization.
",,,,,,,,,,,,,,
"DB230","Fan","A gently sloping fan shaped feature usually found near the lower termination of a canyon.",,,,,,,,,,,"D","DB",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"DB500","Bottomline of Cliff","Bottomline of a steep slope.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB501","Topline of cliff","Topline of a steep slope.",,,,,,,,,,,"D","DB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"DB510","Svah","N/A",,,,,,,,,,,"D","DB",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"DB515","Escarpment/Cliff/Slope (complex)","Man-made or natural ground surface usually limited by ground edges (top edge and bottom edge)",,,,,,,,,,,"D","DB",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"DB516","Slope Bottom Point","Representative point of the bottom edge of the slope.",,,,,,,,,,,"D","DB",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"DB534","Ground Movement Area","Area where the upper soil layers are submitted to horizontal or vertical changes due to various influences (e.g. geological forces, mining).",,,,,,,,,,,"D","DB",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"DB540","Mohyla","N/A",,,,,,,,,,,"D","DB",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"DB570","Terasa","N/A",,,,,,,,,,,"D","DB",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"EA010","Cropland","An area that has been tilled for the planting of crops.  (See also EA040, EA050, and EA055)",,,,,,,,,,,"E","EA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"EA020","Hedgerow","A continuous growth of shrubbery planted as a fence, a boundary, or a wind break.",,,,,,,,,,,"E","EA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"EA030","Nursery","A place where shrubs, flowers, plants and trees are grown for transplanting, seed or grafting.",,,,,,,,,,,"E","EA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"EA031","Botanical Garden","A cultural area where plants and/or trees are displayed.",,,,,,,,,,,"E","EA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"EA040","Orchard/Plantation","An area covered by systematic plantings of trees which yield fruits, nuts or other products.  (See also EA010, EA050 and EA055)",,,,,,,,,,,"E","EA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"EA050","Vineyards","An area covered by the systematic planting of grape vines.  (See also EA010, EA040 and EA055)",,,,,,,,,,,"E","EA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"EA055","Hops","An area covered by the systematic planting of hop vines.  (See also EA010, EA040 and EA050)",,,,,,,,,,,"E","EA",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"EA537","Garden Land","Area used for the cultivation of vegetables, fruit and flowers as well as for the raising of cultivated plants.",,,,,,,,,,,"E","EA",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"EB010","Grassland","An area composed of uncultured plants which have little or no woody tissue.",,,,,,,,,,,"E","EB",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Add 'an' at beginning of sentence.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"EB015","Grass/Scrub/Brush","Area composed of uncultured plants which may have some woody tissue.",,,,,,,,,,,"E","EB",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
